Patrol Division,test_rmse,test_mae
1,0.7049670145082843,0.18260590732097626
2,0.40083623140890745,0.09010086953639984
3,0.34908598609946007,0.09033490717411041
4,0.1801879795979744,0.053512658923864365
5,0.19504361717854504,0.052165694534778595
6,0.25098306372864654,0.06670486927032471
7,0.24566545000501813,0.07487944513559341
8,0.20350888546787446,0.04861847311258316
9,0.19803013288770663,0.050175219774246216
10,0.19965152855265753,0.04927586019039154
11,0.20421849784164214,0.05165375769138336
12,0.2656823124483443,0.08736445754766464
13,0.29672428119921723,0.07931901514530182
14,0.2728480661723886,0.08449336886405945
15,0.367511099401226,0.09761685132980347
16,0.18263368990992068,0.05878249183297157
17,0.21162687785751325,0.06588038802146912
18,0.2420904749669336,0.07690174132585526
19,0.20434973198896678,0.06983423978090286
20,0.2982168740232804,0.0778619647026062
21,0.20599530706800667,0.06797995418310165
