Division,test rmse ,test mae 
1,0.6724501742726734,0.17497636377811432
2,0.4044006693562346,0.08156879991292953
3,0.3524765635538464,0.08459968119859695
4,0.18351640492448523,0.039725348353385925
5,0.2014404097147779,0.04563405364751816
6,0.24846798901638698,0.07446464896202087
7,0.23633373663679108,0.06269144266843796
8,0.20831738748719714,0.04636494815349579
9,0.20249878198645882,0.047584258019924164
10,0.20450762460002464,0.05016852542757988
11,0.2070601281232593,0.04958410933613777
12,0.2714247192045813,0.07796986401081085
13,0.2984106476172383,0.06397221237421036
14,0.2658289939477367,0.06674320250749588
15,0.3673388189636305,0.09354343265295029
16,0.1764940696795951,0.04475870728492737
17,0.2123024190239317,0.05345090106129646
18,0.24850822707542208,0.0616447888314724
19,0.1975567058146804,0.05001609027385712
20,0.29310683493055273,0.06862500309944153
21,0.20121206419149237,0.05278121307492256
